 

stn;time;gor000za
WSLBAF;200001041250;3
WSLBAF;200001041300;4
WSLBAF;200001041310;7
WSLBAF;200001041320;4
WSLBAF;200001041330;5
WSLBAF;200001041340;8
WSLBAF;200001041350;4
WSLBAF;200001041400;6
WSLBAF;200001041410;7
WSLBAF;200001041420;12
WSLBAF;200001041430;13
WSLBAF;200001041440;6
WSLBAF;200001041450;10
WSLBAF;200001041500;35
WSLBAF;200001041510;13
WSLBAF;200001041520;7
WSLBAF;200001041530;5
WSLBAF;200001041540;4
WSLBAF;200001041550;2
WSLBAF;200001041600;1
WSLBAF;200001041610;0
WSLBAF;200001041620;0
WSLBAF;200001041630;0
WSLBAF;200001041640;0
WSLBAF;200001041650;0
WSLBAF;200001041700;0
WSLBAF;200001041710;0
WSLBAF;200001041720;0
WSLBAF;200001041730;0
WSLBAF;200001041740;0
WSLBAF;200001041750;0
WSLBAF;200001041800;0
WSLBAF;200001041810;0
WSLBAF;200001041820;0
WSLBAF;200001041830;0
WSLBAF;200001041840;0
WSLBAF;200001041850;0
WSLBAF;200001041900;0
WSLBAF;200001041910;0
WSLBAF;200001041920;0
WSLBAF;200001041930;0
WSLBAF;200001041940;0
WSLBAF;200001041950;0
WSLBAF;200001042000;0
WSLBAF;200001042010;0
WSLBAF;200001042020;0
WSLBAF;200001042030;0
WSLBAF;200001042040;0
WSLBAF;200001042050;0
WSLBAF;200001042100;0
WSLBAF;200001042110;0
WSLBAF;200001042120;0
WSLBAF;200001042130;0
WSLBAF;200001042140;0
WSLBAF;200001042150;0
WSLBAF;200001042200;0
WSLBAF;200001042210;0
WSLBAF;200001042220;0
WSLBAF;200001042230;0
WSLBAF;200001042240;0
WSLBAF;200001042250;0
WSLBAF;200001042300;0
WSLBAF;200001042310;0
WSLBAF;200001042320;0
WSLBAF;200001042330;0
WSLBAF;200001042340;0
WSLBAF;200001042350;0
WSLBAF;200001050000;0
WSLBAF;200001050010;0
WSLBAF;200001050020;0
WSLBAF;200001050030;0
WSLBAF;200001050040;0
WSLBAF;200001050050;0
WSLBAF;200001050100;0
WSLBAF;200001050110;0
WSLBAF;200001050120;0
WSLBAF;200001050130;0
WSLBAF;200001050140;0
WSLBAF;200001050150;0
WSLBAF;200001050200;0
WSLBAF;200001050210;0
WSLBAF;200001050220;0
WSLBAF;200001050230;0
WSLBAF;200001050240;0
WSLBAF;200001050250;0
WSLBAF;200001050300;0
WSLBAF;200001050310;0
WSLBAF;200001050320;0
WSLBAF;200001050330;0
WSLBAF;200001050340;0
WSLBAF;200001050350;0
WSLBAF;200001050400;0
WSLBAF;200001050410;0
WSLBAF;200001050420;0
WSLBAF;200001050430;0
WSLBAF;200001050440;0
WSLBAF;200001050450;0
WSLBAF;200001050500;0
WSLBAF;200001050510;0
WSLBAF;200001050520;0
WSLBAF;200001050530;0
WSLBAF;200001050540;0
WSLBAF;200001050550;0
WSLBAF;200001050600;0
WSLBAF;200001050610;0
WSLBAF;200001050620;0
WSLBAF;200001050630;0
WSLBAF;200001050640;0
WSLBAF;200001050650;0
WSLBAF;200001050700;0
WSLBAF;200001050710;1
WSLBAF;200001050720;0
WSLBAF;200001050730;1
WSLBAF;200001050740;3
WSLBAF;200001050750;4
WSLBAF;200001050800;6
WSLBAF;200001050810;5
WSLBAF;200001050820;3
WSLBAF;200001050830;10
WSLBAF;200001050840;15
WSLBAF;200001050850;6
WSLBAF;200001050900;9
WSLBAF;200001050910;4
WSLBAF;200001050920;9
WSLBAF;200001050930;6
WSLBAF;200001050940;2
WSLBAF;200001050950;16
WSLBAF;200001051000;11
WSLBAF;200001051010;8
WSLBAF;200001051020;9
WSLBAF;200001051030;12
WSLBAF;200001051040;25
WSLBAF;200001051050;22
WSLBAF;200001051100;9
WSLBAF;200001051110;9
WSLBAF;200001051120;7
WSLBAF;200001051130;7
WSLBAF;200001051140;8
WSLBAF;200001051150;10
WSLBAF;200001051200;14
WSLBAF;200001051210;14
WSLBAF;200001051220;17
WSLBAF;200001051230;12
WSLBAF;200001051240;6
WSLBAF;200001051250;23
WSLBAF;200001051300;77
WSLBAF;200001051310;38
WSLBAF;200001051320;53
WSLBAF;200001051330;18
WSLBAF;200001051340;23
WSLBAF;200001051350;63
WSLBAF;200001051400;48
WSLBAF;200001051410;19
WSLBAF;200001051420;11
WSLBAF;200001051430;6
WSLBAF;200001051440;6
WSLBAF;200001051450;8
WSLBAF;200001051500;17
WSLBAF;200001051510;15
WSLBAF;200001051520;3
WSLBAF;200001051530;1
WSLBAF;200001051540;1
WSLBAF;200001051550;1
WSLBAF;200001051600;1
WSLBAF;200001051610;1
WSLBAF;200001051620;0
WSLBAF;200001051630;0
WSLBAF;200001051640;0
WSLBAF;200001051650;0
WSLBAF;200001051700;0
WSLBAF;200001051710;0
WSLBAF;200001051720;0
WSLBAF;200001051730;0
WSLBAF;200001051740;0
WSLBAF;200001051750;0
WSLBAF;200001051800;0
WSLBAF;200001051810;0
WSLBAF;200001051820;0
WSLBAF;200001051830;0
WSLBAF;200001051840;0
WSLBAF;200001051850;0
WSLBAF;200001051900;0
WSLBAF;200001051910;0
WSLBAF;200001051920;0
WSLBAF;200001051930;0
WSLBAF;200001051940;0
WSLBAF;200001051950;0
WSLBAF;200001052000;0
WSLBAF;200001052010;0
WSLBAF;200001052020;0
WSLBAF;200001052030;0
WSLBAF;200001052040;0
WSLBAF;200001052050;0
WSLBAF;200001052100;0
WSLBAF;200001052110;0
WSLBAF;200001052120;0
WSLBAF;200001052130;0
WSLBAF;200001052140;0
WSLBAF;200001052150;0
WSLBAF;200001052200;0
WSLBAF;200001052210;0
WSLBAF;200001052220;0
WSLBAF;200001052230;0
WSLBAF;200001052240;0
WSLBAF;200001052250;0
WSLBAF;200001052300;0
WSLBAF;200001052310;0
WSLBAF;200001052320;0
WSLBAF;200001052330;0
WSLBAF;200001052340;0
WSLBAF;200001052350;0
WSLBAF;200001060000;0
WSLBAF;200001060010;0
WSLBAF;200001060020;0
WSLBAF;200001060030;0
WSLBAF;200001060040;0
WSLBAF;200001060050;0
WSLBAF;200001060100;0
WSLBAF;200001060110;0
WSLBAF;200001060120;0
WSLBAF;200001060130;0
WSLBAF;200001060140;0
WSLBAF;200001060150;0
WSLBAF;200001060200;0
WSLBAF;200001060210;0
WSLBAF;200001060220;0
WSLBAF;200001060230;0
WSLBAF;200001060240;0
WSLBAF;200001060250;0
WSLBAF;200001060300;0
WSLBAF;200001060310;0
WSLBAF;200001060320;0
WSLBAF;200001060330;0
WSLBAF;200001060340;0
WSLBAF;200001060350;0
WSLBAF;200001060400;0
WSLBAF;200001060410;0
WSLBAF;200001060420;0
WSLBAF;200001060430;0
WSLBAF;200001060440;0
WSLBAF;200001060450;0
WSLBAF;200001060500;0
WSLBAF;200001060510;0
WSLBAF;200001060520;0
WSLBAF;200001060530;0
WSLBAF;200001060540;0
WSLBAF;200001060550;0
WSLBAF;200001060600;0
WSLBAF;200001060610;0
WSLBAF;200001060620;0
WSLBAF;200001060630;0
WSLBAF;200001060640;0
WSLBAF;200001060650;0
WSLBAF;200001060700;1
WSLBAF;200001060710;1
WSLBAF;200001060720;1
WSLBAF;200001060730;1
WSLBAF;200001060740;1
WSLBAF;200001060750;1
WSLBAF;200001060800;3
WSLBAF;200001060810;20
WSLBAF;200001060820;31
WSLBAF;200001060830;38
WSLBAF;200001060840;8
WSLBAF;200001060850;18
WSLBAF;200001060900;3
WSLBAF;200001060910;5
WSLBAF;200001060920;8
WSLBAF;200001060930;16
WSLBAF;200001060940;21
WSLBAF;200001060950;19
WSLBAF;200001061000;21
WSLBAF;200001061010;22
WSLBAF;200001061020;25
WSLBAF;200001061030;35
WSLBAF;200001061040;35
WSLBAF;200001061050;30
WSLBAF;200001061100;54
WSLBAF;200001061110;55
WSLBAF;200001061120;20
WSLBAF;200001061130;42
WSLBAF;200001061140;57
WSLBAF;200001061150;29
WSLBAF;200001061200;28
WSLBAF;200001061210;36
WSLBAF;200001061220;78
WSLBAF;200001061230;61
WSLBAF;200001061240;27
WSLBAF;200001061250;17
WSLBAF;200001061300;24
WSLBAF;200001061310;54
WSLBAF;200001061320;18
WSLBAF;200001061330;16
WSLBAF;200001061340;17
WSLBAF;200001061350;15
WSLBAF;200001061400;15
WSLBAF;200001061410;10
WSLBAF;200001061420;6
WSLBAF;200001061430;4
WSLBAF;200001061440;5
WSLBAF;200001061450;10
WSLBAF;200001061500;7
WSLBAF;200001061510;3
WSLBAF;200001061520;1
WSLBAF;200001061530;1
WSLBAF;200001061540;2
WSLBAF;200001061550;2
WSLBAF;200001061600;1
WSLBAF;200001061610;0
WSLBAF;200001061620;0
WSLBAF;200001061630;0
