Salanfe	1965	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Saleina	1600	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Salen-Reutenen	718	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Samedan	1709	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Säntis	2502	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Sattel-Aegeri	790	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
S. Bernardino	1639	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Schaffhausen	438	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Schänis Bestand	709	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Schänis Freiland	626	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Schiers	626	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Schüpfheim	742	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Scuol	1304	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Segl-Maria	1804	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Sierre	535	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Sion	482	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Sorniot-Lac Inférieur	1990	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Stabio	353	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Stafel	2183	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Sta. Maria, Val Müstair	1383	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
St. Gallen	776	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Stöckalp	1070	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Thun	570	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Titlis	3040	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Trient	1329	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Tsanfleuron	2052	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Turtmann	2180	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Ulrichen	1346	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Vaduz	457	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Valbella	1569	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Vals	1242	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.04.2015	31.12.2015	
Vercorin	1650	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Vevey / Corseaux	405	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	07.09.2015	31.12.2015	
Vicosoprano	1089	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Villars-Tiercelin	859	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Visp	639	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Visp Bestand	698	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Visperterminen	1352	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Visp Freiland	640	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Vordemwald Bestand	482	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Vordemwald Freiland	480	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015
Wädenswil	485	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Weissfluhjoch	2691	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Wynau	422	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Zermatt	1638	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Zürich / Affoltern	444	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Zürich / Fluntern	556	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Zürich / Kloten	426	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015
